%time value spike threshold
7021.200000 1.017510 nan -18.190455
7021.300000 5.186885 nan -18.190455
7021.400000 3.109800 nan -18.190455
7021.500000 -1.887285 nan -18.190455
7021.600000 -5.228120 nan -18.190455
7021.700000 -4.809580 nan -18.190455
7021.800000 -1.892705 nan -18.190455
7021.900000 1.859170 nan -18.190455
7022.000000 3.524795 nan -18.190455
7022.100000 -1.878955 nan -18.190455
7022.200000 5.203125 nan -18.190455
7022.300000 -3.543960 nan -18.190455
7022.400000 -3.964170 nan -18.190455
7022.500000 -2.717085 nan -18.190455
7022.600000 -3.546460 nan -18.190455
7022.700000 1.465000 nan -18.190455
7022.800000 2.301875 nan -18.190455
7022.900000 -1.446250 nan -18.190455
7023.000000 0.645210 nan -18.190455
7023.100000 1.053335 nan -18.190455
7023.200000 4.389790 nan -18.190455
7023.300000 1.888745 nan -18.190455
7023.400000 -2.283340 nan -18.190455
7023.500000 -2.705005 nan -18.190455
7023.600000 0.212290 nan -18.190455
7023.700000 1.043750 nan -18.190455
7023.800000 -2.706875 nan -18.190455
7023.900000 6.038335 nan -18.190455
7024.000000 4.789790 nan -18.190455
7024.100000 -1.866880 nan -18.190455
7024.200000 -2.281675 nan -18.190455
7024.300000 5.222490 nan -18.190455
7024.400000 4.802910 nan -18.190455
7024.500000 2.722285 nan -18.190455
7024.600000 -2.693550 nan -18.190455
7024.700000 -2.687095 nan -18.190455
7024.800000 -1.842930 nan -18.190455
7024.900000 -0.181265 nan -18.190455
7025.000000 -3.089180 nan -18.190455
7025.100000 -2.254600 nan -18.190455
7025.200000 5.663940 nan -18.190455
7025.300000 -1.833145 nan -18.190455
7025.400000 1.079145 nan -18.190455
7025.500000 -4.750855 nan -18.190455
7025.600000 -6.831480 nan -18.190455
7025.700000 -5.170230 nan -18.190455
7025.800000 0.672270 nan -18.190455
7025.900000 3.589770 nan -18.190455
7026.000000 -0.564395 nan -18.190455
7026.100000 8.598105 nan -18.190455
7026.200000 10.689770 nan -18.190455
7026.300000 8.602270 nan -18.190455
7026.400000 6.948935 nan -18.190455
7026.500000 7.363100 nan -18.190455
7026.600000 4.040185 nan -18.190455
7026.700000 4.469140 nan -18.190455
7026.800000 2.807265 nan -18.190455
7026.900000 -1.766695 nan -18.190455
7027.000000 -0.512110 nan -18.190455
7027.100000 2.826435 nan -18.190455
7027.200000 1.999145 nan -18.190455
7027.300000 -1.339395 nan -18.190455
7027.400000 -0.917315 nan -18.190455
7027.500000 -4.671275 nan -18.190455
7027.600000 0.745180 nan -18.190455
7027.700000 -2.174400 nan -18.190455
7027.800000 -2.172940 nan -18.190455
7027.900000 1.995600 nan -18.190455
7028.000000 4.903725 nan -18.190455
7028.100000 -0.924815 nan -18.190455
7028.200000 0.744980 nan -18.190455
7028.300000 1.155395 nan -18.190455
7028.400000 -2.592105 nan -18.190455
7028.500000 -2.170855 nan -18.190455
7028.600000 -2.999400 nan -18.190455
7028.700000 -5.920445 nan -18.190455
7028.800000 0.751430 nan -18.190455
7028.900000 0.337055 nan -18.190455
7029.000000 -2.160860 nan -18.190455
7029.100000 2.417475 nan -18.190455
7029.200000 6.168725 nan -18.190455
7029.300000 1.166645 nan -18.190455
7029.400000 -4.663150 nan -18.190455
7029.500000 -8.830235 nan -18.190455
7029.600000 -6.332315 nan -18.190455
7029.700000 -1.744605 nan -18.190455
7029.800000 4.915605 nan -18.190455
7029.900000 -1.745435 nan -18.190455
7030.000000 -5.495020 nan -18.190455
7030.100000 -2.586270 nan -18.190455
7030.200000 -0.088145 nan -18.190455
7030.300000 3.248935 nan -18.190455
7030.400000 -0.499400 nan -18.190455
7030.500000 -3.415860 nan -18.190455
7030.600000 -5.081275 nan -18.190455
7030.700000 -2.985440 nan -18.190455
7030.800000 -12.150855 nan -18.190455
7030.900000 -7.570645 nan -18.190455
7031.000000 -2.983350 nan -18.190455
7031.100000 -14.235225 nan -18.190455
7031.200000 -15.904805 nan -18.190455
7031.300000 -11.321890 nan -18.190455
7031.400000 -5.066265 nan -18.190455
7031.500000 -4.638140 nan -18.190455
7031.600000 -4.211470 nan -18.190455
7031.700000 -3.372720 nan -18.190455
7031.800000 -2.536675 nan -18.190455
7031.900000 -1.693760 nan -18.190455
7032.000000 -2.530430 nan -18.190455
7032.100000 -5.438140 nan -18.190455
7032.200000 -3.777725 nan -18.190455
7032.300000 -2.527725 nan -18.190455
7032.400000 -4.608140 nan -18.190455
7032.500000 -7.938975 nan -18.190455
7032.600000 -4.190430 nan -18.190455
7032.700000 4.560195 nan -18.190455
7032.800000 -1.686885 nan -18.190455
7032.900000 -9.605220 nan -18.190455
7033.000000 -4.186680 nan -18.190455
7033.100000 -5.028345 nan -18.190455
7033.200000 -0.859595 nan -18.190455
7033.300000 -1.688760 nan -18.190455
7033.400000 -5.439180 nan -18.190455
7033.500000 -0.858140 nan -18.190455
7033.600000 -0.031265 nan -18.190455
7033.700000 -3.364600 nan -18.190455
7033.800000 -6.693765 nan -18.190455
7033.900000 -1.692310 nan -18.190455
7034.000000 1.638315 nan -18.190455
7034.100000 -2.532105 nan -18.190455
7034.200000 -3.365020 nan -18.190455
7034.300000 -6.693770 nan -18.190455
7034.400000 -2.533770 nan -18.190455
7034.500000 -0.446270 nan -18.190455
7034.600000 -4.614185 nan -18.190455
7034.700000 1.635605 nan -18.190455
7034.800000 4.131855 nan -18.190455
7034.900000 -3.372315 nan -18.190455
7035.000000 -7.544610 nan -18.190455
7035.100000 -6.701275 nan -18.190455
7035.200000 -5.041695 nan -18.190455
7035.300000 2.049555 nan -18.190455
7035.400000 1.210180 nan -18.190455
7035.500000 7.458725 nan -18.190455
7035.600000 0.378515 nan -18.190455
7035.700000 -7.122945 nan -18.190455
7035.800000 -7.547110 nan -18.190455
7035.900000 -9.214195 nan -18.190455
7036.000000 -5.471905 nan -18.190455
7036.100000 -6.317945 nan -18.190455
7036.200000 -3.404610 nan -18.190455
7036.300000 -8.410860 nan -18.190455
7036.400000 -3.420235 nan -18.190455
7036.500000 -5.931070 nan -18.190455
7036.600000 -0.932945 nan -18.190455
7036.700000 -2.182945 nan -18.190455
7036.800000 -2.599820 nan -18.190455
7036.900000 -0.508570 nan -18.190455
7037.000000 -2.180235 nan -18.190455
7037.100000 -1.352735 nan -18.190455
7037.200000 -5.933360 nan -18.190455
7037.300000 -5.511070 nan -18.190455
7037.400000 -6.352320 nan -18.190455
7037.500000 -9.684615 nan -18.190455
7037.600000 -14.270240 nan -18.190455
7037.700000 -9.695450 nan -18.190455
7037.800000 -4.278990 nan -18.190455
7037.900000 -3.870865 nan -18.190455
7038.000000 -6.374405 nan -18.190455
7038.100000 -6.789200 nan -18.190455
7038.200000 -4.716285 nan -18.190455
7038.300000 -5.973370 nan -18.190455
7038.400000 -5.556075 nan -18.190455
7038.500000 -0.556495 nan -18.190455
7038.600000 -6.398160 nan -18.190455
7038.700000 -9.310450 nan -18.190455
7038.800000 -5.985240 nan -18.190455
7038.900000 -2.238575 nan -18.190455
7039.000000 6.092260 nan -18.190455
7039.100000 2.760385 nan -18.190455
7039.200000 4.433095 nan -18.190455
7039.300000 -0.982735 nan -18.190455
7039.400000 -6.403150 nan -18.190455
7039.500000 -6.814820 nan -18.190455
7039.600000 -3.486490 nan -18.190455
7039.700000 -0.157320 nan -18.190455
7039.800000 -0.985650 nan -18.190455
7039.900000 1.095185 nan -18.190455
7040.000000 3.184765 nan -18.190455
7040.100000 -3.907315 nan -18.190455
7040.200000 -1.820650 nan -18.190455
7040.300000 -2.659820 nan -18.190455
7040.400000 3.183725 nan -18.190455
7040.500000 3.594140 nan -18.190455
7040.600000 0.690595 nan -18.190455
7040.700000 2.353510 nan -18.190455
7040.800000 -3.893575 nan -18.190455
7040.900000 -0.967745 nan -18.190455
7041.000000 1.959130 nan -18.190455
7041.100000 9.467045 nan -18.190455
7041.200000 3.631835 nan -18.190455
7041.300000 6.138290 nan -18.190455
7041.400000 0.731830 nan -18.190455
7041.500000 -3.012755 nan -18.190455
7041.600000 -2.180675 nan -18.190455
7041.700000 -1.758175 nan -18.190455
7041.800000 -8.006300 nan -18.190455
7041.900000 -8.844215 nan -18.190455
7042.000000 -4.670675 nan -18.190455
7042.100000 -4.247550 nan -18.190455
7042.200000 -2.165675 nan -18.190455
7042.300000 -2.163175 nan -18.190455
7042.400000 -0.907760 nan -18.190455
7042.500000 2.428905 nan -18.190455
7042.600000 -9.228595 nan -18.190455
7042.700000 -4.223390 nan -18.190455
7042.800000 -6.306725 nan -18.190455
7042.900000 -0.465060 nan -18.190455
7043.000000 -3.806310 nan -18.190455
7043.100000 -9.634645 nan -18.190455
7043.200000 -5.462565 nan -18.190455
7043.300000 -4.214025 nan -18.190455
7043.400000 -2.135690 nan -18.190455
7043.500000 -7.968610 nan -18.190455
7043.600000 -8.393610 nan -18.190455
7043.700000 -6.317985 nan -18.190455
7043.800000 -5.478610 nan -18.190455
7043.900000 -4.227565 nan -18.190455
7044.000000 -0.479230 nan -18.190455
7044.100000 -1.730065 nan -18.190455
7044.200000 2.852435 nan -18.190455
7044.300000 0.776600 nan -18.190455
7044.400000 2.029725 nan -18.190455
7044.500000 -7.559860 nan -18.190455
7044.600000 1.612640 nan -18.190455
7044.700000 4.540140 nan -18.190455
7044.800000 -2.543820 nan -18.190455
7044.900000 -2.953615 nan -18.190455
7045.000000 -5.878405 nan -18.190455
7045.100000 -3.378610 nan -18.190455
7045.200000 -3.378610 nan -18.190455
7045.300000 -5.458820 nan -18.190455
7045.400000 0.364720 nan -18.190455
7045.500000 6.613885 nan -18.190455
7045.600000 -0.057155 nan -18.190455
7045.700000 -2.137365 nan -18.190455
7045.800000 2.028050 nan -18.190455
7045.900000 0.775970 nan -18.190455
7046.000000 3.685765 nan -18.190455
7046.100000 -0.469860 nan -18.190455
7046.200000 -7.967985 nan -18.190455
7046.300000 -0.468400 nan -18.190455
7046.400000 4.943475 nan -18.190455
7046.500000 2.034725 nan -18.190455
7046.600000 1.616600 nan -18.190455
7046.700000 -4.212360 nan -18.190455
7046.800000 -5.881315 nan -18.190455
7046.900000 1.618060 nan -18.190455
7047.000000 -0.050690 nan -18.190455
7047.100000 -0.881525 nan -18.190455
7047.200000 -6.710070 nan -18.190455
7047.300000 -10.460695 nan -18.190455
7047.400000 -2.551115 nan -18.190455
7047.500000 2.450970 nan -18.190455
7047.600000 -5.456530 nan -18.190455
7047.700000 -0.459240 nan -18.190455
7047.800000 -3.381530 nan -18.190455
7047.900000 1.618470 nan -18.190455
7048.000000 4.536800 nan -18.190455
7048.100000 1.614925 nan -18.190455
7048.200000 9.537010 nan -18.190455
7048.300000 7.035550 nan -18.190455
7048.400000 1.614300 nan -18.190455
7048.500000 0.361385 nan -18.190455
7048.600000 -0.059660 nan -18.190455
7048.700000 4.108045 nan -18.190455
7048.800000 5.778875 nan -18.190455
7048.900000 1.190125 nan -18.190455
7049.000000 2.854705 nan -18.190455
7049.100000 -0.899465 nan -18.190455
7049.200000 5.766995 nan -18.190455
7049.300000 4.094700 nan -18.190455
7049.400000 4.515745 nan -18.190455
7049.500000 5.769080 nan -18.190455
